,Cerebellum,Cortex,Gonadal,Hippocampus,Liver,Striatum,Cerebellum_values,Cortex_values,Gonadal_values,Hippocampus_values,Liver_values,Striatum_values
ENSMUSG00000035585,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.9999999999999999
ENSMUSG00000035713,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.9642857142857145,0.8999999999999998
ENSMUSG00000035765,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,-0.8999999999999998
ENSMUSG00000036098,1,0,0,0,1,0,-0.880952380952381,0.0,0.0,0.0,0.8571428571428573,0.0
ENSMUSG00000036611,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.9642857142857145,-0.8999999999999998
ENSMUSG00000036686,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8214285714285715,0.8999999999999998
ENSMUSG00000036995,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000037005,0,0,1,0,1,0,0.0,0.0,0.8571428571428573,0.0,0.8928571428571429,0.0
ENSMUSG00000037103,0,0,0,1,1,0,0.0,0.0,0.0,0.8928571428571429,0.8928571428571429,0.0
ENSMUSG00000037259,0,0,1,0,1,0,0.0,0.0,0.8214285714285715,0.0,-0.8571428571428573,0.0
ENSMUSG00000037339,0,0,0,1,1,0,0.0,0.0,0.0,0.8928571428571429,0.9285714285714288,0.0
ENSMUSG00000037722,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-1.0,0.8999999999999998
ENSMUSG00000037740,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000037907,1,0,0,0,1,0,-0.9523809523809524,0.0,0.0,0.0,0.9285714285714288,0.0
ENSMUSG00000038042,0,0,0,1,1,0,0.0,0.0,0.0,1.0,-0.8214285714285715,0.0
ENSMUSG00000038187,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,-0.8999999999999998
ENSMUSG00000038235,1,0,0,0,1,0,-0.9047619047619048,0.0,0.0,0.0,-0.9642857142857145,0.0
ENSMUSG00000038540,0,0,0,1,1,1,0.0,0.0,0.0,0.8214285714285715,-0.8214285714285715,0.8999999999999998
ENSMUSG00000038624,0,0,1,0,1,0,0.0,0.0,1.0,0.0,0.9285714285714288,0.0
ENSMUSG00000038700,1,0,0,0,1,1,-0.9047619047619048,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000038751,0,0,1,0,1,0,0.0,0.0,0.8214285714285715,0.0,-0.8214285714285715,0.0
ENSMUSG00000038763,0,0,0,1,1,0,0.0,0.0,0.0,-0.8571428571428573,0.8571428571428573,0.0
ENSMUSG00000038984,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,-0.8999999999999998
ENSMUSG00000039263,0,0,0,1,1,1,0.0,0.0,0.0,0.8571428571428573,0.9642857142857145,0.8999999999999998
ENSMUSG00000039765,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.9285714285714288,0.8999999999999998
ENSMUSG00000039865,1,0,0,0,1,0,-0.8333333333333335,0.0,0.0,0.0,0.9285714285714288,0.0
ENSMUSG00000039967,0,0,1,0,1,0,0.0,0.0,0.8571428571428573,0.0,-0.9642857142857145,0.0
ENSMUSG00000040121,1,0,0,0,1,0,0.9047619047619048,0.0,0.0,0.0,0.8571428571428573,0.0
ENSMUSG00000040139,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8214285714285715,0.8999999999999998
ENSMUSG00000040187,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8928571428571429,0.8999999999999998
ENSMUSG00000040242,0,0,0,1,1,1,0.0,0.0,0.0,-0.9642857142857145,0.8214285714285715,-0.8999999999999998
ENSMUSG00000040272,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8214285714285715,0.8999999999999998
ENSMUSG00000040520,0,0,1,0,1,0,0.0,0.0,0.8571428571428573,0.0,-0.8214285714285715,0.0
ENSMUSG00000040536,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8928571428571429,-0.8999999999999998
ENSMUSG00000040661,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000040945,1,0,0,0,1,1,-0.880952380952381,0.0,0.0,0.0,0.8571428571428573,-0.8999999999999998
ENSMUSG00000040957,1,0,0,0,1,1,-0.880952380952381,0.0,0.0,0.0,-0.8571428571428573,-0.8999999999999998
ENSMUSG00000041263,0,0,0,1,1,0,0.0,0.0,0.0,0.8571428571428573,1.0,0.0
ENSMUSG00000041471,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.9285714285714288,0.8999999999999998
ENSMUSG00000041483,1,0,0,0,1,0,0.9047619047619048,0.0,0.0,0.0,-0.8214285714285715,0.0
ENSMUSG00000041697,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.9285714285714288,0.9999999999999999
ENSMUSG00000041740,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.9999999999999999
ENSMUSG00000041798,0,0,0,1,1,0,0.0,0.0,0.0,-0.9285714285714288,0.9285714285714288,0.0
ENSMUSG00000041912,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,-0.8999999999999998
ENSMUSG00000041926,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.9285714285714288,0.8999999999999998
ENSMUSG00000042213,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000043067,1,0,0,0,1,0,-0.9047619047619048,0.0,0.0,0.0,0.8928571428571429,0.0
ENSMUSG00000043162,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000043183,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000043241,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8214285714285715,-0.8999999999999998
ENSMUSG00000043252,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,-0.8999999999999998
ENSMUSG00000043913,1,0,0,0,1,0,-0.880952380952381,0.0,0.0,0.0,-0.8571428571428573,0.0
ENSMUSG00000043993,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000044033,0,0,1,0,1,0,0.0,0.0,0.8928571428571429,0.0,-0.8928571428571429,0.0
ENSMUSG00000044199,0,0,1,0,1,0,0.0,0.0,0.8571428571428573,0.0,0.8571428571428573,0.0
ENSMUSG00000044433,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.9999999999999999
ENSMUSG00000045176,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000045482,0,0,0,1,1,0,0.0,0.0,0.0,0.8214285714285715,0.9642857142857145,0.0
ENSMUSG00000045671,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,-0.8999999999999998
ENSMUSG00000045733,0,0,1,0,1,0,0.0,0.0,0.8571428571428573,0.0,-0.8214285714285715,0.0
ENSMUSG00000045962,0,0,0,1,1,0,0.0,0.0,0.0,0.8928571428571429,0.9642857142857145,0.0
ENSMUSG00000046160,0,0,0,1,1,1,0.0,0.0,0.0,0.8214285714285715,0.8214285714285715,0.8999999999999998
ENSMUSG00000046434,0,0,1,0,1,0,0.0,0.0,0.9642857142857145,0.0,-0.8571428571428573,0.0
ENSMUSG00000046808,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000046865,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.9642857142857145,0.9999999999999999
ENSMUSG00000047881,0,0,1,0,1,0,0.0,0.0,0.9642857142857145,0.0,-0.8214285714285715,0.0
ENSMUSG00000049106,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000049295,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8214285714285715,0.9999999999999999
ENSMUSG00000049811,1,0,0,0,1,1,-0.8095238095238096,0.0,0.0,0.0,-0.8928571428571429,0.8999999999999998
ENSMUSG00000050052,1,0,0,0,1,0,-0.8095238095238096,0.0,0.0,0.0,0.8214285714285715,0.0
ENSMUSG00000050830,1,0,0,0,1,0,-0.8571428571428572,0.0,0.0,0.0,0.9285714285714288,0.0
ENSMUSG00000050860,1,0,0,0,1,0,-0.8333333333333335,0.0,0.0,0.0,0.8928571428571429,0.0
ENSMUSG00000051065,0,0,0,1,1,0,0.0,0.0,0.0,0.8928571428571429,0.8571428571428573,0.0
ENSMUSG00000051695,0,0,1,0,1,1,0.0,0.0,0.9285714285714288,0.0,0.8214285714285715,0.8999999999999998
ENSMUSG00000051934,0,0,0,1,1,0,0.0,0.0,0.0,0.8571428571428573,0.9285714285714288,0.0
ENSMUSG00000052133,0,0,0,1,1,0,0.0,0.0,0.0,0.8214285714285715,0.8214285714285715,0.0
ENSMUSG00000052707,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.9285714285714288,0.8999999999999998
ENSMUSG00000052730,0,0,0,1,1,0,0.0,0.0,0.0,0.8928571428571429,0.8928571428571429,0.0
ENSMUSG00000053024,0,0,0,1,1,0,0.0,0.0,0.0,0.9285714285714288,-0.8571428571428573,0.0
ENSMUSG00000053178,0,0,0,1,1,0,0.0,0.0,0.0,-0.8571428571428573,-0.8214285714285715,0.0
ENSMUSG00000054134,1,0,0,0,1,1,-0.8095238095238096,0.0,0.0,0.0,-0.8214285714285715,-0.8999999999999998
ENSMUSG00000054181,0,0,0,1,1,1,0.0,0.0,0.0,0.8571428571428573,-0.8928571428571429,0.8999999999999998
ENSMUSG00000054958,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8078131663950782,-0.8999999999999998
ENSMUSG00000055493,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000055717,1,0,0,0,1,0,-0.8333333333333335,0.0,0.0,0.0,0.8571428571428573,0.0
ENSMUSG00000057123,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,-0.8999999999999998
ENSMUSG00000059146,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,-0.8999999999999998
ENSMUSG00000060301,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.9285714285714288,0.8999999999999998
ENSMUSG00000060380,1,0,0,0,1,0,-0.8095238095238096,0.0,0.0,0.0,0.8928571428571429,0.0
ENSMUSG00000061079,0,0,1,0,1,0,0.0,0.0,0.9285714285714288,0.0,-0.8571428571428573,0.0
ENSMUSG00000061298,1,0,0,0,1,0,-0.9047619047619048,0.0,0.0,0.0,-0.8214285714285715,0.0
ENSMUSG00000061762,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000062181,1,0,0,0,1,0,0.8455943246644704,0.0,0.0,0.0,-0.8928571428571429,0.0
ENSMUSG00000062545,1,0,1,0,1,0,0.8571428571428572,0.0,0.8571428571428573,0.0,0.9642857142857145,0.0
ENSMUSG00000062933,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000063632,0,0,0,1,1,0,0.0,0.0,0.0,0.9285714285714288,0.8017837257372733,0.0
ENSMUSG00000063760,0,0,0,1,1,0,0.0,0.0,0.0,0.8571428571428573,0.8571428571428573,0.0
ENSMUSG00000064215,0,0,1,0,1,0,0.0,0.0,-0.8214285714285715,0.0,0.8571428571428573,0.0
ENSMUSG00000066191,0,0,0,1,1,0,0.0,0.0,0.0,0.8928571428571429,0.8214285714285715,0.0
ENSMUSG00000067389,1,0,0,0,1,0,-0.8095238095238096,0.0,0.0,0.0,0.8214285714285715,0.0
ENSMUSG00000068086,0,0,1,0,1,0,0.0,0.0,0.8571428571428573,0.0,0.8214285714285715,0.0
ENSMUSG00000068205,1,0,0,0,1,1,0.8571428571428572,0.0,0.0,0.0,0.8214285714285715,-0.8999999999999998
ENSMUSG00000068417,1,0,0,0,1,0,-0.8571428571428572,0.0,0.0,0.0,0.8928571428571429,0.0
ENSMUSG00000069806,0,0,0,1,1,0,0.0,0.0,0.0,0.9285714285714288,0.8214285714285715,0.0
ENSMUSG00000070709,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8928571428571429,0.8999999999999998
ENSMUSG00000071553,1,0,0,0,1,0,0.880952380952381,0.0,0.0,0.0,0.8108437164260032,0.0
ENSMUSG00000072423,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000072844,0,0,0,1,1,0,0.0,0.0,0.0,-0.8928571428571429,-0.8214285714285715,0.0
ENSMUSG00000074004,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.9642857142857145,0.8999999999999998
ENSMUSG00000074388,0,0,0,1,1,0,0.0,0.0,0.0,-0.9642857142857145,-0.9285714285714288,0.0
ENSMUSG00000074639,0,0,0,1,1,0,0.0,0.0,0.0,0.9285714285714288,-0.8928571428571429,0.0
ENSMUSG00000074867,1,0,0,0,1,0,-0.9761904761904763,0.0,0.0,0.0,-0.8214285714285715,0.0
ENSMUSG00000075289,1,0,0,1,1,0,-0.9047619047619048,0.0,0.0,0.9285714285714288,0.9285714285714288,0.0
ENSMUSG00000075595,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000076666,0,0,0,1,1,0,0.0,0.0,0.0,-0.9274260335029678,-0.8571428571428573,0.0
ENSMUSG00000078317,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000078503,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,-0.8999999999999998
ENSMUSG00000078931,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000079283,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000079537,1,0,1,0,1,0,-0.8095238095238096,0.0,0.8571428571428573,0.0,-0.8571428571428573,0.0
ENSMUSG00000079555,0,0,0,1,1,0,0.0,0.0,0.0,-0.8928571428571429,0.8571428571428573,0.0
ENSMUSG00000079671,0,0,1,0,1,0,0.0,0.0,0.8214285714285715,0.0,-0.9642857142857145,0.0
ENSMUSG00000079722,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000080753,0,0,1,0,1,0,0.0,0.0,0.8001322641986389,0.0,-0.8524367141602663,0.0
ENSMUSG00000080875,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,-0.8999999999999998
ENSMUSG00000081185,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8214285714285715,0.8999999999999998
ENSMUSG00000081551,0,0,0,1,1,0,0.0,0.0,0.0,-1.0,-0.8571428571428573,0.0
ENSMUSG00000082348,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8214285714285715,0.9999999999999999
ENSMUSG00000084950,1,0,0,0,1,1,0.8333333333333335,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000085319,0,0,1,0,1,0,0.0,0.0,-0.8017837257372733,0.0,-0.8017837257372733,0.0
ENSMUSG00000085347,0,0,1,0,1,0,0.0,0.0,-0.8928571428571429,0.0,-0.8214285714285715,0.0
ENSMUSG00000085445,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000085455,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000085868,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,-0.9999999999999999
ENSMUSG00000086040,1,0,0,0,1,1,-0.8333333333333335,0.0,0.0,0.0,-0.8571428571428573,-0.8999999999999998
ENSMUSG00000086745,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8153742483272114,0.8999999999999998
ENSMUSG00000086904,1,0,0,0,1,0,0.9285714285714287,0.0,0.0,0.0,-0.8928571428571429,0.0
ENSMUSG00000087088,0,0,1,0,1,1,0.0,0.0,0.8928571428571429,0.0,-0.9642857142857145,0.8999999999999998
ENSMUSG00000087163,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8214285714285715,-0.8999999999999998
ENSMUSG00000087497,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000087569,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.8999999999999998
